编号	城市	AQI指数	首要污染物	日期	空气质量级别
320	武汉市	57	二氧化氮	2019-02-28	良
321	武汉市	50	—	2019-02-27	优
322	武汉市	156	细颗粒物(PM2.5)	2019-02-26	中度污染
323	武汉市	104	细颗粒物(PM2.5)	2019-02-25	轻度污染
324	武汉市	84	细颗粒物(PM2.5)	2019-02-24	良
325	武汉市	74	细颗粒物(PM2.5)	2019-02-23	良
326	武汉市	62	细颗粒物(PM2.5)	2019-02-22	良
327	武汉市	105	细颗粒物(PM2.5)	2019-02-21	轻度污染
328	武汉市	124	细颗粒物(PM2.5)	2019-02-20	轻度污染
329	武汉市	88	细颗粒物(PM2.5)	2019-02-19	良
330	武汉市	65	细颗粒物(PM2.5)	2019-02-18	良
331	武汉市	97	细颗粒物(PM2.5)	2019-02-17	良
332	武汉市	94	细颗粒物(PM2.5)	2019-02-16	良
333	武汉市	59	细颗粒物(PM2.5)	2019-02-15	良
334	武汉市	42	—	2019-02-14	优
335	武汉市	79	细颗粒物(PM2.5)	2019-02-13	良
336	武汉市	55	细颗粒物(PM2.5)	2019-02-12	良
337	武汉市	97	细颗粒物(PM2.5)	2019-02-11	良
338	武汉市	73	细颗粒物(PM2.5)	2019-02-10	良
339	武汉市	49	—	2019-02-09	优
340	武汉市	28	—	2019-02-08	优
341	武汉市	135	细颗粒物(PM2.5)	2019-02-07	轻度污染
342	武汉市	142	细颗粒物(PM2.5)	2019-02-05	轻度污染
343	武汉市	150	细颗粒物(PM2.5)	2019-02-04	轻度污染
344	武汉市	98	细颗粒物(PM2.5)	2019-02-03	良
345	武汉市	75	细颗粒物(PM2.5)	2019-02-02	良
346	武汉市	105	细颗粒物(PM2.5)	2019-02-01	轻度污染
347	武汉市	74	细颗粒物(PM2.5)	2019-01-31	良
348	武汉市	60	细颗粒物(PM2.5)	2019-01-30	良
349	武汉市	118	细颗粒物(PM2.5)	2019-01-29	轻度污染
350	武汉市	170	细颗粒物(PM2.5)	2019-01-28	中度污染
351	武汉市	94	细颗粒物(PM2.5)	2019-01-27	良
