编号	城市	AQI指数	首要污染物	日期	空气质量级别
315	上海市	108	细颗粒物(PM2.5)	2019-03-05	轻度污染
316	上海市	127	细颗粒物(PM2.5)	2019-03-04	轻度污染
317	上海市	100	细颗粒物(PM2.5)	2019-03-03	良
318	上海市	69	细颗粒物(PM2.5)	2019-03-02	良
319	上海市	119	细颗粒物(PM2.5)	2019-03-01	轻度污染
320	上海市	58	二氧化氮	2019-02-28	良
321	上海市	60	二氧化氮	2019-02-27	良
322	上海市	53	细颗粒物(PM2.5)	2019-02-26	良
323	上海市	102	细颗粒物(PM2.5)	2019-02-25	轻度污染
324	上海市	135	细颗粒物(PM2.5)	2019-02-24	轻度污染
325	上海市	160	细颗粒物(PM2.5)	2019-02-23	中度污染
326	上海市	64	细颗粒物(PM2.5)	2019-02-22	良
327	上海市	77	细颗粒物(PM2.5)	2019-02-21	良
328	上海市	62	细颗粒物(PM2.5)	2019-02-20	良
329	上海市	67	二氧化氮	2019-02-19	良
330	上海市	50	—	2019-02-18	优
331	上海市	44	—	2019-02-17	优
332	上海市	57	细颗粒物(PM2.5)	2019-02-16	良
333	上海市	42	—	2019-02-15	优
334	上海市	44	—	2019-02-14	优
335	上海市	44	—	2019-02-13	优
336	上海市	39	—	2019-02-12	优
337	上海市	39	—	2019-02-11	优
338	上海市	36	—	2019-02-10	优
339	上海市	38	—	2019-02-09	优
340	上海市	36	—	2019-02-08	优
341	上海市	48	—	2019-02-07	优
342	上海市	61	颗粒物(PM10)	2019-02-05	良
343	上海市	103	细颗粒物(PM2.5)	2019-02-04	轻度污染
344	上海市	93	细颗粒物(PM2.5)	2019-02-03	良
345	上海市	70	细颗粒物(PM2.5)	2019-02-02	良
346	上海市	82	细颗粒物(PM2.5)	2019-02-01	良
347	上海市	41	—	2019-01-31	优
348	上海市	78	二氧化氮	2019-01-30	良
349	上海市	65	二氧化氮	2019-01-29	良
350	上海市	82	二氧化氮	2019-01-28	良
351	上海市	57	二氧化氮	2019-01-27	良
352	上海市	34	—	2019-01-26	优
353	上海市	68	二氧化氮	2019-01-25	良
354	上海市	127	细颗粒物(PM2.5)	2019-01-24	轻度污染
355	上海市	128	细颗粒物(PM2.5)	2019-01-23	轻度污染
356	上海市	110	细颗粒物(PM2.5)	2019-01-22	轻度污染
357	上海市	90	二氧化氮	2019-01-21	良
358	上海市	119	细颗粒物(PM2.5)	2019-01-20	轻度污染
359	上海市	103	细颗粒物(PM2.5)	2019-01-19	轻度污染
360	上海市	109	细颗粒物(PM2.5)	2019-01-18	轻度污染
361	上海市	105	细颗粒物(PM2.5)	2019-01-17	轻度污染
362	上海市	55	"二氧化氮,颗粒物(PM10)"	2019-01-16	良
363	上海市	135	细颗粒物(PM2.5)	2019-01-15	轻度污染
364	上海市	94	细颗粒物(PM2.5)	2019-01-14	良
365	上海市	104	细颗粒物(PM2.5)	2019-01-13	轻度污染
366	上海市	65	二氧化氮	2019-01-12	良
367	上海市	70	二氧化氮	2019-01-11	良
368	上海市	59	二氧化氮	2019-01-10	良
369	上海市	55	二氧化氮	2019-01-09	良
370	上海市	75	细颗粒物(PM2.5)	2019-01-08	良
371	上海市	63	二氧化氮	2019-01-07	良
372	上海市	55	二氧化氮	2019-01-06	良
373	上海市	64	二氧化氮	2019-01-05	良
374	上海市	75	二氧化氮	2019-01-04	良
375	上海市	73	二氧化氮	2019-01-03	良
376	上海市	87	细颗粒物(PM2.5)	2019-01-02	良
377	上海市	40	—	2019-01-01	优
